Membership No  Date Joined  Active  
    61044      2016-12-10   yes   
    36979      2017-5-20    no    
    48060      2020-10-11   yes   
    43145      2017-4-16    yes   
    82613      2016-8-7     no    
    90533      2020-1-2     no    
    63783      2016-11-18   no    
    30536      2015-3-4     yes   
    12677      2019-2-22    yes   
    44942      2016-2-1     no    
    63237      2020-10-14   yes   
    97536      2016-6-2     yes   
    72174      2019-1-16    no    
    12949      2017-4-1     yes   
    67348      2015-3-8     yes   
    24866      2019-4-20    yes   
    86279      2020-3-4     no    
    92970      2016-3-6     yes   
    50760      2016-10-3    yes   
    71169      2020-5-17    yes   
